Device,IP,Status,Response Time,Timestamp
Google Server,142.250.183.14,ONLINE,31.44 ms,2026-05-23 21:48:34
Cloudflare Server,104.16.132.229,ONLINE,61.27 ms,2026-05-23 21:48:34
Manga Fier,192.168.100.250,OFFLINE,3990.54 ms,2026-05-23 21:48:38
Velside,192.168.29.1,OFFLINE,3989.53 ms,2026-05-23 21:48:38
Google DNS,8.8.8.8,ONLINE,34.6 ms,2026-05-23 21:48:38
Cloudflare DNS,1.1.1.1,ONLINE,58.97 ms,2026-05-23 21:48:38
OpenDNS,208.67.222.222,ONLINE,60.83 ms,2026-05-23 21:48:38
Quad9 DNS,9.9.9.9,ONLINE,33.68 ms,2026-05-23 21:48:38
Cisco Router,192.168.1.1,ONLINE,23.62 ms,2026-05-23 21:48:38
Localhost,127.0.0.1,ONLINE,23.21 ms,2026-05-23 21:48:38
Google Server,142.250.183.14,ONLINE,33.14 ms,2026-05-23 21:48:38
Cloudflare Server,104.16.132.229,ONLINE,59.45 ms,2026-05-23 21:48:38
Manga Fier,192.168.100.250,OFFLINE,3978.3 ms,2026-05-23 21:48:42
Velside,192.168.29.1,OFFLINE,3978.06 ms,2026-05-23 21:48:42
Google DNS,8.8.8.8,ONLINE,32.26 ms,2026-05-23 21:48:42
Cloudflare DNS,1.1.1.1,ONLINE,57.79 ms,2026-05-23 21:48:42
OpenDNS,208.67.222.222,ONLINE,57.44 ms,2026-05-23 21:48:42
Quad9 DNS,9.9.9.9,ONLINE,31.51 ms,2026-05-23 21:48:42
Cisco Router,192.168.1.1,ONLINE,21.46 ms,2026-05-23 21:48:42
Localhost,127.0.0.1,ONLINE,19.05 ms,2026-05-23 21:48:42
Google Server,142.250.183.14,ONLINE,30.87 ms,2026-05-23 21:48:42
Cloudflare Server,104.16.132.229,ONLINE,56.38 ms,2026-05-23 21:48:42
Manga Fier,192.168.100.250,OFFLINE,3976.81 ms,2026-05-23 21:48:46
Velside,192.168.29.1,OFFLINE,3976.03 ms,2026-05-23 21:48:46
Google DNS,8.8.8.8,ONLINE,32.39 ms,2026-05-23 21:48:46
Cloudflare DNS,1.1.1.1,ONLINE,60.46 ms,2026-05-23 21:48:46
OpenDNS,208.67.222.222,ONLINE,60.33 ms,2026-05-23 21:48:46
Quad9 DNS,9.9.9.9,ONLINE,33.66 ms,2026-05-23 21:48:46
Cisco Router,192.168.1.1,ONLINE,23.23 ms,2026-05-23 21:48:46
Localhost,127.0.0.1,ONLINE,23.07 ms,2026-05-23 21:48:46
Google Server,142.250.183.14,ONLINE,30.64 ms,2026-05-23 21:48:46
Cloudflare Server,104.16.132.229,ONLINE,59.05 ms,2026-05-23 21:48:46
Manga Fier,192.168.100.250,OFFLINE,3979.82 ms,2026-05-23 21:48:50
Velside,192.168.29.1,OFFLINE,3979.66 ms,2026-05-23 21:48:50
Google DNS,8.8.8.8,ONLINE,36.71 ms,2026-05-23 21:48:50
Cloudflare DNS,1.1.1.1,ONLINE,61.52 ms,2026-05-23 21:48:50
OpenDNS,208.67.222.222,ONLINE,61.3 ms,2026-05-23 21:48:50
Quad9 DNS,9.9.9.9,ONLINE,34.05 ms,2026-05-23 21:48:50
Cisco Router,192.168.1.1,ONLINE,26.31 ms,2026-05-23 21:48:50
Localhost,127.0.0.1,ONLINE,25.88 ms,2026-05-23 21:48:50
Google Server,142.250.183.14,ONLINE,34.69 ms,2026-05-23 21:48:50
Cloudflare Server,104.16.132.229,ONLINE,62.35 ms,2026-05-23 21:48:50
Manga Fier,192.168.100.250,OFFLINE,3991.77 ms,2026-05-23 21:48:54
Velside,192.168.29.1,OFFLINE,3990.71 ms,2026-05-23 21:48:54
Google DNS,8.8.8.8,ONLINE,29.05 ms,2026-05-23 21:48:54
Cloudflare DNS,1.1.1.1,ONLINE,61.08 ms,2026-05-23 21:48:54
OpenDNS,208.67.222.222,ONLINE,56.45 ms,2026-05-23 21:48:54
Quad9 DNS,9.9.9.9,ONLINE,29.35 ms,2026-05-23 21:48:54
Cisco Router,192.168.1.1,ONLINE,20.12 ms,2026-05-23 21:48:54
Localhost,127.0.0.1,ONLINE,22.35 ms,2026-05-23 21:48:54
Google Server,142.250.183.14,ONLINE,34.12 ms,2026-05-23 21:48:54
Cloudflare Server,104.16.132.229,ONLINE,61.76 ms,2026-05-23 21:48:54
Manga Fier,192.168.100.250,OFFLINE,3986.08 ms,2026-05-23 21:48:58
Velside,192.168.29.1,OFFLINE,3984.92 ms,2026-05-23 21:48:58
Google DNS,8.8.8.8,ONLINE,31.32 ms,2026-05-23 21:48:58
Cloudflare DNS,1.1.1.1,ONLINE,57.91 ms,2026-05-23 21:48:58
OpenDNS,208.67.222.222,ONLINE,57.42 ms,2026-05-23 21:48:58
Quad9 DNS,9.9.9.9,ONLINE,30.64 ms,2026-05-23 21:48:58
Cisco Router,192.168.1.1,ONLINE,20.19 ms,2026-05-23 21:48:58
Localhost,127.0.0.1,ONLINE,18.81 ms,2026-05-23 21:48:58
Google Server,142.250.183.14,ONLINE,30.21 ms,2026-05-23 21:48:58
Cloudflare Server,104.16.132.229,ONLINE,56.47 ms,2026-05-23 21:48:58
Manga Fier,192.168.100.250,OFFLINE,3983.32 ms,2026-05-23 21:49:02
Velside,192.168.29.1,OFFLINE,3982.56 ms,2026-05-23 21:49:02
Google DNS,8.8.8.8,ONLINE,60.95 ms,2026-05-23 21:49:02
Cloudflare DNS,1.1.1.1,ONLINE,87.02 ms,2026-05-23 21:49:02
OpenDNS,208.67.222.222,ONLINE,86.74 ms,2026-05-23 21:49:02
Quad9 DNS,9.9.9.9,ONLINE,59.72 ms,2026-05-23 21:49:02
Cisco Router,192.168.1.1,ONLINE,49.17 ms,2026-05-23 21:49:02
Localhost,127.0.0.1,ONLINE,48.72 ms,2026-05-23 21:49:02
Google Server,142.250.183.14,ONLINE,59.27 ms,2026-05-23 21:49:02
Cloudflare Server,104.16.132.229,ONLINE,85.35 ms,2026-05-23 21:49:02
Manga Fier,192.168.100.250,OFFLINE,3971.27 ms,2026-05-23 21:49:06
Velside,192.168.29.1,OFFLINE,3970.73 ms,2026-05-23 21:49:06
Google DNS,8.8.8.8,ONLINE,32.82 ms,2026-05-23 21:49:06
Cloudflare DNS,1.1.1.1,ONLINE,60.65 ms,2026-05-23 21:49:06
OpenDNS,208.67.222.222,ONLINE,60.55 ms,2026-05-23 21:49:06
Quad9 DNS,9.9.9.9,ONLINE,34.76 ms,2026-05-23 21:49:06
Cisco Router,192.168.1.1,ONLINE,25.12 ms,2026-05-23 21:49:06
Localhost,127.0.0.1,ONLINE,22.07 ms,2026-05-23 21:49:06
Google Server,142.250.183.14,ONLINE,31.75 ms,2026-05-23 21:49:06
Cloudflare Server,104.16.132.229,ONLINE,59.36 ms,2026-05-23 21:49:06
Manga Fier,192.168.100.250,OFFLINE,3985.79 ms,2026-05-23 21:49:10
Velside,192.168.29.1,OFFLINE,3984.6 ms,2026-05-23 21:49:10
Google DNS,8.8.8.8,ONLINE,29.78 ms,2026-05-23 21:49:10
Cloudflare DNS,1.1.1.1,ONLINE,57.64 ms,2026-05-23 21:49:10
OpenDNS,208.67.222.222,ONLINE,57.47 ms,2026-05-23 21:49:10
Quad9 DNS,9.9.9.9,ONLINE,29.71 ms,2026-05-23 21:49:10
Cisco Router,192.168.1.1,ONLINE,19.06 ms,2026-05-23 21:49:10
Localhost,127.0.0.1,ONLINE,20.37 ms,2026-05-23 21:49:10
Google Server,142.250.183.14,ONLINE,28.32 ms,2026-05-23 21:49:10
Cloudflare Server,104.16.132.229,ONLINE,57.36 ms,2026-05-23 21:49:10
Manga Fier,192.168.100.250,OFFLINE,3977.25 ms,2026-05-23 21:49:14
Velside,192.168.29.1,OFFLINE,3977.11 ms,2026-05-23 21:49:14
Google DNS,8.8.8.8,ONLINE,30.59 ms,2026-05-23 21:49:14
Cloudflare DNS,1.1.1.1,ONLINE,58.58 ms,2026-05-23 21:49:14
OpenDNS,208.67.222.222,ONLINE,58.41 ms,2026-05-23 21:49:14
Quad9 DNS,9.9.9.9,ONLINE,29.77 ms,2026-05-23 21:49:14
Cisco Router,192.168.1.1,ONLINE,22.09 ms,2026-05-23 21:49:14
Localhost,127.0.0.1,ONLINE,20.23 ms,2026-05-23 21:49:14
Google Server,142.250.183.14,ONLINE,29.45 ms,2026-05-23 21:49:14
Cloudflare Server,104.16.132.229,ONLINE,61.44 ms,2026-05-23 21:49:14
Manga Fier,192.168.100.250,OFFLINE,3982.37 ms,2026-05-23 21:49:18
Velside,192.168.29.1,OFFLINE,3981.92 ms,2026-05-23 21:49:18
Google DNS,8.8.8.8,ONLINE,31.99 ms,2026-05-23 21:49:18
Cloudflare DNS,1.1.1.1,ONLINE,59.62 ms,2026-05-23 21:49:18
OpenDNS,208.67.222.222,ONLINE,67.59 ms,2026-05-23 21:49:18
Quad9 DNS,9.9.9.9,ONLINE,37.0 ms,2026-05-23 21:49:18
Cisco Router,192.168.1.1,ONLINE,25.96 ms,2026-05-23 21:49:18
Localhost,127.0.0.1,ONLINE,25.14 ms,2026-05-23 21:49:18
Google Server,142.250.183.14,ONLINE,35.05 ms,2026-05-23 21:49:18
Cloudflare Server,104.16.132.229,ONLINE,58.73 ms,2026-05-23 21:49:18
Manga Fier,192.168.100.250,OFFLINE,3982.0 ms,2026-05-23 21:49:22
Velside,192.168.29.1,OFFLINE,3981.51 ms,2026-05-23 21:49:22
Google DNS,8.8.8.8,ONLINE,31.95 ms,2026-05-23 21:49:22
Cloudflare DNS,1.1.1.1,ONLINE,58.26 ms,2026-05-23 21:49:22
OpenDNS,208.67.222.222,ONLINE,57.85 ms,2026-05-23 21:49:22
Quad9 DNS,9.9.9.9,ONLINE,31.77 ms,2026-05-23 21:49:22
Cisco Router,192.168.1.1,ONLINE,23.34 ms,2026-05-23 21:49:22
Localhost,127.0.0.1,ONLINE,22.39 ms,2026-05-23 21:49:22
Google Server,142.250.183.14,ONLINE,33.65 ms,2026-05-23 21:49:22
Cloudflare Server,104.16.132.229,ONLINE,58.4 ms,2026-05-23 21:49:22
Manga Fier,192.168.100.250,OFFLINE,3988.65 ms,2026-05-23 21:49:26
Velside,192.168.29.1,OFFLINE,3988.47 ms,2026-05-23 21:49:26
Google DNS,8.8.8.8,ONLINE,32.5 ms,2026-05-23 21:49:26
Cloudflare DNS,1.1.1.1,ONLINE,61.61 ms,2026-05-23 21:49:26
OpenDNS,208.67.222.222,ONLINE,61.14 ms,2026-05-23 21:49:26
Quad9 DNS,9.9.9.9,ONLINE,34.65 ms,2026-05-23 21:49:26
Cisco Router,192.168.1.1,ONLINE,23.73 ms,2026-05-23 21:49:26
Localhost,127.0.0.1,ONLINE,23.15 ms,2026-05-23 21:49:26
Google Server,142.250.183.14,ONLINE,33.92 ms,2026-05-23 21:49:26
Cloudflare Server,104.16.132.229,ONLINE,61.43 ms,2026-05-23 21:49:26
Manga Fier,192.168.100.250,OFFLINE,3983.17 ms,2026-05-23 21:49:30
Velside,192.168.29.1,OFFLINE,3982.76 ms,2026-05-23 21:49:30
Google DNS,8.8.8.8,ONLINE,30.23 ms,2026-05-23 21:49:30
Cloudflare DNS,1.1.1.1,ONLINE,58.53 ms,2026-05-23 21:49:30
OpenDNS,208.67.222.222,ONLINE,58.14 ms,2026-05-23 21:49:30
Quad9 DNS,9.9.9.9,ONLINE,29.71 ms,2026-05-23 21:49:30
Cisco Router,192.168.1.1,ONLINE,25.62 ms,2026-05-23 21:49:30
Localhost,127.0.0.1,ONLINE,24.31 ms,2026-05-23 21:49:30
Google Server,142.250.183.14,ONLINE,33.82 ms,2026-05-23 21:49:30
Cloudflare Server,104.16.132.229,ONLINE,61.71 ms,2026-05-23 21:49:30
Manga Fier,192.168.100.250,OFFLINE,3987.47 ms,2026-05-23 21:49:34
Velside,192.168.29.1,OFFLINE,3986.9 ms,2026-05-23 21:49:34
Google DNS,8.8.8.8,ONLINE,33.22 ms,2026-05-23 21:49:34
Cloudflare DNS,1.1.1.1,ONLINE,61.15 ms,2026-05-23 21:49:34
OpenDNS,208.67.222.222,ONLINE,60.81 ms,2026-05-23 21:49:34
Quad9 DNS,9.9.9.9,ONLINE,33.39 ms,2026-05-23 21:49:34
Cisco Router,192.168.1.1,ONLINE,24.16 ms,2026-05-23 21:49:34
Localhost,127.0.0.1,ONLINE,23.05 ms,2026-05-23 21:49:34
Google Server,142.250.183.14,ONLINE,31.35 ms,2026-05-23 21:49:34
Cloudflare Server,104.16.132.229,ONLINE,60.49 ms,2026-05-23 21:49:34
Manga Fier,192.168.100.250,OFFLINE,3978.5 ms,2026-05-23 21:49:38
Velside,192.168.29.1,OFFLINE,3978.1 ms,2026-05-23 21:49:38
Google DNS,8.8.8.8,ONLINE,32.58 ms,2026-05-23 21:49:38
Cloudflare DNS,1.1.1.1,ONLINE,61.92 ms,2026-05-23 21:49:38
OpenDNS,208.67.222.222,ONLINE,60.62 ms,2026-05-23 21:49:38
Quad9 DNS,9.9.9.9,ONLINE,36.14 ms,2026-05-23 21:49:38
Cisco Router,192.168.1.1,ONLINE,24.49 ms,2026-05-23 21:49:38
Localhost,127.0.0.1,ONLINE,22.1 ms,2026-05-23 21:49:38
Google Server,142.250.183.14,ONLINE,31.61 ms,2026-05-23 21:49:38
Cloudflare Server,104.16.132.229,ONLINE,60.27 ms,2026-05-23 21:49:38
Manga Fier,192.168.100.250,OFFLINE,3985.12 ms,2026-05-23 21:49:42
Velside,192.168.29.1,OFFLINE,3982.4 ms,2026-05-23 21:49:42
Google DNS,8.8.8.8,ONLINE,32.18 ms,2026-05-23 21:49:42
Cloudflare DNS,1.1.1.1,ONLINE,60.13 ms,2026-05-23 21:49:42
OpenDNS,208.67.222.222,ONLINE,59.67 ms,2026-05-23 21:49:42
Quad9 DNS,9.9.9.9,ONLINE,31.28 ms,2026-05-23 21:49:42
Cisco Router,192.168.1.1,ONLINE,22.16 ms,2026-05-23 21:49:42
Localhost,127.0.0.1,ONLINE,18.53 ms,2026-05-23 21:49:42
Google Server,142.250.183.14,OFFLINE,3974.92 ms,2026-05-23 21:49:46
Cloudflare Server,104.16.132.229,ONLINE,58.58 ms,2026-05-23 21:49:42
Manga Fier,192.168.100.250,OFFLINE,3974.47 ms,2026-05-23 21:49:46
Velside,192.168.29.1,OFFLINE,3974.1 ms,2026-05-23 21:49:46
Google DNS,8.8.8.8,ONLINE,29.46 ms,2026-05-23 21:53:16
Cloudflare DNS,1.1.1.1,ONLINE,59.67 ms,2026-05-23 21:53:16
OpenDNS,208.67.222.222,ONLINE,59.62 ms,2026-05-23 21:53:16
Quad9 DNS,9.9.9.9,ONLINE,30.4 ms,2026-05-23 21:53:16
Cisco Router,192.168.1.1,ONLINE,20.97 ms,2026-05-23 21:53:15
Localhost,127.0.0.1,ONLINE,20.09 ms,2026-05-23 21:53:15
Google Server,142.250.183.14,ONLINE,28.06 ms,2026-05-23 21:53:16
Cloudflare Server,104.16.132.229,ONLINE,58.54 ms,2026-05-23 21:53:16
Manga Fier,192.168.100.250,OFFLINE,3644.87 ms,2026-05-23 21:53:19
Velside,192.168.29.1,OFFLINE,3644.52 ms,2026-05-23 21:53:19
Google DNS,8.8.8.8,ONLINE,31.19 ms,2026-05-23 21:53:49
Cloudflare DNS,1.1.1.1,ONLINE,56.88 ms,2026-05-23 21:53:49
OpenDNS,208.67.222.222,ONLINE,58.04 ms,2026-05-23 21:53:49
Quad9 DNS,9.9.9.9,ONLINE,30.45 ms,2026-05-23 21:53:49
Cisco Router,192.168.1.1,ONLINE,21.86 ms,2026-05-23 21:53:49
Localhost,127.0.0.1,ONLINE,18.33 ms,2026-05-23 21:53:49
Google Server,142.250.183.14,ONLINE,29.13 ms,2026-05-23 21:53:49
Cloudflare Server,104.16.132.229,ONLINE,55.01 ms,2026-05-23 21:53:49
Manga Fier,192.168.100.250,OFFLINE,3962.86 ms,2026-05-23 21:53:53
Velside,192.168.29.1,OFFLINE,3962.47 ms,2026-05-23 21:53:53
Google DNS,8.8.8.8,ONLINE,30.62 ms,2026-05-23 21:54:23
Cloudflare DNS,1.1.1.1,ONLINE,57.9 ms,2026-05-23 21:54:23
OpenDNS,208.67.222.222,ONLINE,57.19 ms,2026-05-23 21:54:23
Quad9 DNS,9.9.9.9,ONLINE,28.88 ms,2026-05-23 21:54:23
Cisco Router,192.168.1.1,ONLINE,18.15 ms,2026-05-23 21:54:23
Localhost,127.0.0.1,ONLINE,18.72 ms,2026-05-23 21:54:23
Google Server,142.250.183.14,ONLINE,27.39 ms,2026-05-23 21:54:23
Cloudflare Server,104.16.132.229,ONLINE,54.7 ms,2026-05-23 21:54:23
Manga Fier,192.168.100.250,OFFLINE,3979.43 ms,2026-05-23 21:54:27
Velside,192.168.29.1,OFFLINE,3978.67 ms,2026-05-23 21:54:27
Google DNS,8.8.8.8,ONLINE,31.18 ms,2026-05-23 21:54:57
Cloudflare DNS,1.1.1.1,ONLINE,57.52 ms,2026-05-23 21:54:57
OpenDNS,208.67.222.222,ONLINE,58.31 ms,2026-05-23 21:54:57
Quad9 DNS,9.9.9.9,ONLINE,30.25 ms,2026-05-23 21:54:57
Cisco Router,192.168.1.1,ONLINE,20.93 ms,2026-05-23 21:54:57
Localhost,127.0.0.1,ONLINE,18.29 ms,2026-05-23 21:54:57
Google Server,142.250.183.14,ONLINE,29.53 ms,2026-05-23 21:54:57
Cloudflare Server,104.16.132.229,ONLINE,56.77 ms,2026-05-23 21:54:57
Manga Fier,192.168.100.250,OFFLINE,3978.63 ms,2026-05-23 21:55:01
Velside,192.168.29.1,OFFLINE,3978.17 ms,2026-05-23 21:55:01
Google DNS,8.8.8.8,ONLINE,32.51 ms,2026-05-23 21:55:31
Cloudflare DNS,1.1.1.1,ONLINE,62.16 ms,2026-05-23 21:55:31
OpenDNS,208.67.222.222,ONLINE,62.04 ms,2026-05-23 21:55:31
Quad9 DNS,9.9.9.9,ONLINE,31.84 ms,2026-05-23 21:55:31
Cisco Router,192.168.1.1,ONLINE,20.14 ms,2026-05-23 21:55:31
Localhost,127.0.0.1,ONLINE,19.06 ms,2026-05-23 21:55:31
Google Server,142.250.183.14,ONLINE,30.71 ms,2026-05-23 21:55:31
Cloudflare Server,104.16.132.229,ONLINE,57.55 ms,2026-05-23 21:55:31
Manga Fier,192.168.100.250,OFFLINE,3984.11 ms,2026-05-23 21:55:35
Velside,192.168.29.1,OFFLINE,3983.68 ms,2026-05-23 21:55:35
Google DNS,8.8.8.8,ONLINE,33.98 ms,2026-05-23 21:56:05
Cloudflare DNS,1.1.1.1,ONLINE,61.03 ms,2026-05-23 21:56:05
OpenDNS,208.67.222.222,ONLINE,60.81 ms,2026-05-23 21:56:05
Quad9 DNS,9.9.9.9,ONLINE,33.28 ms,2026-05-23 21:56:05
Cisco Router,192.168.1.1,ONLINE,23.74 ms,2026-05-23 21:56:05
Localhost,127.0.0.1,ONLINE,19.14 ms,2026-05-23 21:56:05
Google Server,142.250.183.14,ONLINE,32.12 ms,2026-05-23 21:56:05
Cloudflare Server,104.16.132.229,ONLINE,59.1 ms,2026-05-23 21:56:05
Manga Fier,192.168.100.250,OFFLINE,3976.74 ms,2026-05-23 21:56:09
Velside,192.168.29.1,OFFLINE,3976.43 ms,2026-05-23 21:56:09
Google DNS,8.8.8.8,ONLINE,29.7 ms,2026-05-23 21:56:39
Cloudflare DNS,1.1.1.1,ONLINE,59.29 ms,2026-05-23 21:56:39
OpenDNS,208.67.222.222,ONLINE,58.81 ms,2026-05-23 21:56:39
Quad9 DNS,9.9.9.9,ONLINE,31.06 ms,2026-05-23 21:56:39
Cisco Router,192.168.1.1,ONLINE,21.27 ms,2026-05-23 21:56:39
Localhost,127.0.0.1,ONLINE,20.28 ms,2026-05-23 21:56:39
Google Server,142.250.183.14,ONLINE,29.42 ms,2026-05-23 21:56:39
Cloudflare Server,104.16.132.229,ONLINE,57.74 ms,2026-05-23 21:56:39
Manga Fier,192.168.100.250,OFFLINE,3980.31 ms,2026-05-23 21:56:43
Velside,192.168.29.1,OFFLINE,3980.03 ms,2026-05-23 21:56:43
Google DNS,8.8.8.8,ONLINE,27.4 ms,2026-05-23 21:57:13
Cloudflare DNS,1.1.1.1,ONLINE,57.12 ms,2026-05-23 21:57:13
OpenDNS,208.67.222.222,ONLINE,56.63 ms,2026-05-23 21:57:13
Quad9 DNS,9.9.9.9,ONLINE,27.97 ms,2026-05-23 21:57:13
Cisco Router,192.168.1.1,ONLINE,18.37 ms,2026-05-23 21:57:13
Localhost,127.0.0.1,ONLINE,17.62 ms,2026-05-23 21:57:13
Google Server,142.250.183.14,ONLINE,26.53 ms,2026-05-23 21:57:13
Cloudflare Server,104.16.132.229,ONLINE,55.25 ms,2026-05-23 21:57:13
Manga Fier,192.168.100.250,OFFLINE,3974.46 ms,2026-05-23 21:57:17
Velside,192.168.29.1,OFFLINE,3974.05 ms,2026-05-23 21:57:17
Google DNS,8.8.8.8,ONLINE,28.2 ms,2026-05-23 21:57:47
Cloudflare DNS,1.1.1.1,ONLINE,59.37 ms,2026-05-23 21:57:47
OpenDNS,208.67.222.222,ONLINE,58.48 ms,2026-05-23 21:57:47
Quad9 DNS,9.9.9.9,ONLINE,26.67 ms,2026-05-23 21:57:47
Cisco Router,192.168.1.1,ONLINE,17.81 ms,2026-05-23 21:57:47
Localhost,127.0.0.1,ONLINE,17.38 ms,2026-05-23 21:57:47
Google Server,142.250.183.14,ONLINE,27.59 ms,2026-05-23 21:57:47
Cloudflare Server,104.16.132.229,ONLINE,56.44 ms,2026-05-23 21:57:47
Manga Fier,192.168.100.250,OFFLINE,3978.69 ms,2026-05-23 21:57:51
Velside,192.168.29.1,OFFLINE,3978.45 ms,2026-05-23 21:57:51
Google DNS,8.8.8.8,ONLINE,28.66 ms,2026-05-23 21:58:21
Cloudflare DNS,1.1.1.1,ONLINE,55.93 ms,2026-05-23 21:58:21
OpenDNS,208.67.222.222,ONLINE,56.74 ms,2026-05-23 21:58:21
Quad9 DNS,9.9.9.9,ONLINE,27.62 ms,2026-05-23 21:58:21
Cisco Router,192.168.1.1,ONLINE,19.56 ms,2026-05-23 21:58:21
Localhost,127.0.0.1,ONLINE,19.18 ms,2026-05-23 21:58:21
Google Server,142.250.183.14,ONLINE,28.71 ms,2026-05-23 21:58:21
Cloudflare Server,104.16.132.229,ONLINE,57.81 ms,2026-05-23 21:58:21
Manga Fier,192.168.100.250,OFFLINE,3984.51 ms,2026-05-23 21:58:25
Velside,192.168.29.1,OFFLINE,3984.12 ms,2026-05-23 21:58:25
Google DNS,8.8.8.8,ONLINE,29.54 ms,2026-05-23 21:58:55
Cloudflare DNS,1.1.1.1,ONLINE,57.84 ms,2026-05-23 21:58:55
OpenDNS,208.67.222.222,ONLINE,57.68 ms,2026-05-23 21:58:55
Quad9 DNS,9.9.9.9,ONLINE,27.93 ms,2026-05-23 21:58:55
Cisco Router,192.168.1.1,ONLINE,18.74 ms,2026-05-23 21:58:55
Localhost,127.0.0.1,ONLINE,17.55 ms,2026-05-23 21:58:55
Google Server,142.250.183.14,ONLINE,26.82 ms,2026-05-23 21:58:55
Cloudflare Server,104.16.132.229,ONLINE,55.45 ms,2026-05-23 21:58:55
Manga Fier,192.168.100.250,OFFLINE,3985.33 ms,2026-05-23 21:58:59
Velside,192.168.29.1,OFFLINE,3984.87 ms,2026-05-23 21:58:59
Google DNS,8.8.8.8,ONLINE,28.67 ms,2026-05-23 21:59:29
Cloudflare DNS,1.1.1.1,ONLINE,58.62 ms,2026-05-23 21:59:29
OpenDNS,208.67.222.222,ONLINE,57.05 ms,2026-05-23 21:59:29
Quad9 DNS,9.9.9.9,ONLINE,30.42 ms,2026-05-23 21:59:29
Cisco Router,192.168.1.1,ONLINE,20.46 ms,2026-05-23 21:59:29
Localhost,127.0.0.1,ONLINE,19.26 ms,2026-05-23 21:59:29
Google Server,142.250.183.14,ONLINE,27.34 ms,2026-05-23 21:59:29
Cloudflare Server,104.16.132.229,ONLINE,57.23 ms,2026-05-23 21:59:29
Manga Fier,192.168.100.250,OFFLINE,3985.0 ms,2026-05-23 21:59:33
Velside,192.168.29.1,OFFLINE,3984.83 ms,2026-05-23 21:59:33
Google DNS,8.8.8.8,ONLINE,33.26 ms,2026-05-23 22:00:03
Cloudflare DNS,1.1.1.1,ONLINE,62.91 ms,2026-05-23 22:00:03
OpenDNS,208.67.222.222,ONLINE,62.02 ms,2026-05-23 22:00:03
Quad9 DNS,9.9.9.9,ONLINE,30.48 ms,2026-05-23 22:00:03
Cisco Router,192.168.1.1,ONLINE,23.8 ms,2026-05-23 22:00:03
Localhost,127.0.0.1,ONLINE,22.73 ms,2026-05-23 22:00:03
Google Server,142.250.183.14,ONLINE,27.44 ms,2026-05-23 22:00:03
Cloudflare Server,104.16.132.229,ONLINE,60.37 ms,2026-05-23 22:00:03
Manga Fier,192.168.100.250,OFFLINE,3975.33 ms,2026-05-23 22:00:07
Velside,192.168.29.1,OFFLINE,3974.88 ms,2026-05-23 22:00:07
Google DNS,8.8.8.8,ONLINE,32.09 ms,2026-05-23 22:00:37
Cloudflare DNS,1.1.1.1,ONLINE,59.68 ms,2026-05-23 22:00:37
OpenDNS,208.67.222.222,ONLINE,59.72 ms,2026-05-23 22:00:37
Quad9 DNS,9.9.9.9,ONLINE,31.22 ms,2026-05-23 22:00:37
Cisco Router,192.168.1.1,ONLINE,21.66 ms,2026-05-23 22:00:37
Localhost,127.0.0.1,ONLINE,20.83 ms,2026-05-23 22:00:37
Google Server,142.250.183.14,ONLINE,30.43 ms,2026-05-23 22:00:37
Cloudflare Server,104.16.132.229,ONLINE,57.41 ms,2026-05-23 22:00:37
Manga Fier,192.168.100.250,OFFLINE,3978.41 ms,2026-05-23 22:00:41
Velside,192.168.29.1,OFFLINE,3977.89 ms,2026-05-23 22:00:41
Google DNS,8.8.8.8,ONLINE,26.81 ms,2026-05-23 22:01:11
Cloudflare DNS,1.1.1.1,ONLINE,56.58 ms,2026-05-23 22:01:11
OpenDNS,208.67.222.222,ONLINE,55.85 ms,2026-05-23 22:01:11
Quad9 DNS,9.9.9.9,ONLINE,26.84 ms,2026-05-23 22:01:11
Cisco Router,192.168.1.1,ONLINE,16.62 ms,2026-05-23 22:01:11
Localhost,127.0.0.1,ONLINE,16.02 ms,2026-05-23 22:01:11
Google Server,142.250.183.14,ONLINE,25.97 ms,2026-05-23 22:01:11
Cloudflare Server,104.16.132.229,ONLINE,54.79 ms,2026-05-23 22:01:11
Manga Fier,192.168.100.250,OFFLINE,3989.3 ms,2026-05-23 22:01:15
Velside,192.168.29.1,OFFLINE,3988.84 ms,2026-05-23 22:01:15
Google DNS,8.8.8.8,OFFLINE,3973.73 ms,2026-05-23 22:01:49
Cloudflare DNS,1.1.1.1,ONLINE,58.71 ms,2026-05-23 22:01:45
OpenDNS,208.67.222.222,ONLINE,58.11 ms,2026-05-23 22:01:45
Quad9 DNS,9.9.9.9,ONLINE,32.91 ms,2026-05-23 22:01:45
Cisco Router,192.168.1.1,ONLINE,19.31 ms,2026-05-23 22:01:45
Localhost,127.0.0.1,ONLINE,18.88 ms,2026-05-23 22:01:45
Google Server,142.250.183.14,ONLINE,28.08 ms,2026-05-23 22:01:45
Cloudflare Server,104.16.132.229,ONLINE,56.58 ms,2026-05-23 22:01:45
Manga Fier,192.168.100.250,OFFLINE,3970.89 ms,2026-05-23 22:01:49
Velside,192.168.29.1,OFFLINE,3970.34 ms,2026-05-23 22:01:49
Google DNS,8.8.8.8,ONLINE,28.52 ms,2026-05-23 22:02:19
Cloudflare DNS,1.1.1.1,ONLINE,57.16 ms,2026-05-23 22:02:19
OpenDNS,208.67.222.222,ONLINE,56.89 ms,2026-05-23 22:02:19
Quad9 DNS,9.9.9.9,ONLINE,27.69 ms,2026-05-23 22:02:19
